,ingrediente,qtde,ENERGIA (kcal),PROTEÍNA (g),LIPÍDEOS (g),CARBOIDRATO (g),FIBRA ALIMENTAR (g),CÁLCIO (mg),FÓSFORO (mg),FERRO (mg),SÓDIO (mg),POTÁSSIO (mg),"VIT, C (mg)",FONTE
687,Polenta,100.0,62.88,1.02,1.67,11.32,1.97,2.84,40.05,0.36,1.0,46.43,0.0,Polenta DIETBOX/TUCUNDUVA. Considerou-se o sódio de 100g do fubá(TACO).
690,Polpa de acerola congelada,19.0,0.0,0.591666666666666,0.0,0.0,0.703333333333333,0.0,0.0,0.167333333333333,1.28,0.0,0.0,"Acerola, polpa, congelada/ TACO"
692,Polpa de caju congelada,25.0,0.0,0.48125,0.154,0.0,0.814666666666666,0.839333333333333,0.0,0.146666666666666,0.0,0.0,0.0,"Caju, polpa, congelada/TACO"
694,Polpa de fruta,50.0,0.0,0.591666666666666,0.0,0.0,0.703333333333333,0.0,0.0,0.167333333333333,1.28,0.0,0.0,"Acerola, polpa, congelada/ TACO"
695,Polpa de graviola congelada,25.0,0.0,0.566666666666666,0.137666666666666,0.0,0.0,0.0,0.0,0.102666666666666,0.0,0.0,0.0,"Graviola, polpa, congelada/TACO"
697,Polpa de mamão congelada,35.0,40.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,"Polpa de mamão, Rótulo Lara Fruit"
698,Polpa de manga congelada,25.0,0.0,0.38125,0.234,0.0,1.07,0.0,0.0,0.0893333333333333,0.0,0.0,0.0,"Manga, polpa, congelada/TACO"
702,Polpa de maracujá,50.0,0.0,0.8125,0.176666666666666,0.0,0.505999999999999,0.0,0.0,0.292333333333333,0.0,0.0,0.0,"Maracujá, polpa, congelada/TACO"
703,Polpa de maracujá congelada,20.0,0.0,0.8125,0.176666666666666,0.0,0.505999999999999,0.0,0.0,0.292333333333333,0.0,0.0,0.0,"Maracujá, polpa, congelada/TACO"
706,Proteína,12.0,375.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bem Vital Caseinato, Nutricium. Informações do rótulo."
707,Pudim de baunilha,40.0,112.0,2.86,2.9,18.68,0.1,89.0,74.0,0.04,156.0,119.0,0.0,"Pudim, baunilha, mistura seca, normal, preparo com leite integral/USDA/DIETBOX"
